X,Y,CDS
0.0,0.37,2125
0.0,1.735,1989
0.0,3.192,2304
0.0,4.723,1998
0.0,6.272,2112
0.0,6.734,2060
0.0,7.202,2280
0.0,7.671,1956
0.0,8.139,2200
0.0,8.628,2183
0.0,9.117,1950
0.0,9.633,2263
0.0,10.146,2026
0.0,10.646,2041
0.0,11.152,2256
0.0,11.679,1932
0.0,12.216,2187
0.0,12.775,2192
0.0,13.357,1943
0.0,13.958,2242
0.0,14.561,2113
0.0,15.149,1977
0.0,15.729,2264
0.0,16.306,2070
0.0,16.873,2032
0.0,17.428,2279
0.0,17.988,1956
0.0,18.538,2181
0.0,19.085,2228
0.0,19.618,1959
0.0,20.158,2265
0.0,20.694,2159
0.0,21.218,2094
0.0,21.719,2322
0.0,22.2,2233
-0.012,22.57,2352
-0.453,24.576,2146
-1.254,26.469,2401
-1.422,26.832,2197
-1.589,27.164,2210
-1.767,27.49,2440
-1.956,27.809,2143
-2.155,28.122,2342
-2.365,28.428,2401
-2.585,28.729,2144
-2.814,29.02,2456
-3.053,29.304,2301
-3.302,29.58,2220
-3.559,29.847,2479
-3.828,30.109,2146
-4.103,30.359,2448
-4.386,30.6,2342
-4.676,30.83,2183
-4.974,31.051,2460
-5.278,31.262,2288
-5.601,31.47,2454
-5.92,31.66,2142
-6.244,31.839,2346
-6.574,32.007,2429
-6.91,32.164,2126
-7.251,32.311,2415
-7.605,32.448,2116
-7.954,32.571,2362
-8.307,32.682,2372
-8.664,32.782,2086
-9.025,32.869,2374
-9.388,32.945,2256
-9.754,33.009,2092
-10.121,33.06,663
-10.49,33.099,619
-10.86,33.126,600
-11.23,33.141,654
-11.601,33.143,621
-11.971,33.145,636
-13.322,33.32,705
-14.783,33.715,633
-15.145,33.826,691
-15.538,33.961,667
-15.967,34.124,645
-16.454,34.329,706
-17.018,34.588,650
-17.728,34.944,689
-18.52,35.374,719
-19.409,35.895,656
-20.385,36.513,720
-21.422,37.218,673
-22.511,38.013,668
-23.644,38.9,674
-24.884,39.94,708
-26.218,41.14,639
-27.542,42.412,686
-28.922,43.83,689
-30.322,45.368,645
-31.733,47.024,713
-33.193,48.859,683
-34.704,50.893,674
-36.24,53.111,734
-37.782,55.504,673
-39.348,58.125,734
-40.857,60.85,719
-42.335,63.744,709
-43.764,66.79,709
-45.214,70.182,707
-46.598,73.755,749
-47.857,77.357,759
-49.025,81.096,735
-50.12,85.064,722
-51.093,89.126,769
-51.942,93.283,732
-52.67,97.573,738
-53.294,102.224,725
-53.755,106.812,798
-54.074,111.576,770
-54.238,116.435,767
-54.239,121.427,828
-54.07,126.559,781
-53.723,131.801,824
-53.698,132.172,872
-53.789,130.797,883
-53.88,129.428,863
-53.986,127.827,866
-54.016,127.371,829
-54.137,125.546,831
-54.25,123.847,848
-54.28,123.392,833
-54.309,122.958,798
-54.337,122.536,863
-54.365,122.117,807
-54.391,121.724,812
-54.416,121.347,852
-54.44,120.976,784
-54.465,120.606,826
-54.489,120.236,827
-54.515,119.85,844
-54.539,119.48,783
-54.564,119.11,813
-54.589,118.737,832
-54.613,118.366,776
-54.638,117.996,782
-54.663,117.608,797
-54.689,117.223,807
-54.714,116.85,822
-54.738,116.48,800
-54.763,116.101,760
-54.788,115.722,800
-54.813,115.352,798
-54.837,114.98,806
-54.862,114.601,784
-54.887,114.23,759
-54.912,113.861,807
-54.936,113.491,762
-54.961,113.121,758
-54.985,112.75,798
-55.01,112.38,730
-55.034,112.009,765
-55.059,111.638,767
-55.083,111.268,718
-55.108,110.898,768
-55.132,110.527,737
-55.157,110.157,717
-55.181,109.786,764
-55.206,109.416,702
-55.231,109.045,726
-55.255,108.674,739
-55.281,108.291,741
-55.305,107.918,689
-55.33,107.547,692
-55.354,107.175,723
-55.38,106.788,662
-55.405,106.406,692
-55.432,106.012,662
-55.457,105.622,691
-55.484,105.225,642
-55.51,104.827,690
-55.537,104.423,644
-55.564,104.017,640
-55.59,103.616,672
-55.616,103.226,623
-55.641,102.848,614
-55.666,102.469,617
-55.691,102.098,642
-55.715,101.727,633
-55.741,101.344,602
-55.765,100.974,583
-55.79,100.603,618
